predictor,episode,weather_class,boptest_tdis_tot,diag_comfort_Kh,local_daily_8_18_21_24_steps,local_daily_8_18_21_24_Kh,weekday_8_18_21_24_steps,weekday_8_18_21_24_Kh,local_daily_8_18_21_26_steps,local_daily_8_18_21_26_Kh,max_t_zone_degC,min_t_zone_degC
pinn,te_ext_01,extreme,0.0,0.0,0,0.0,0,0.0,0,0.0,22.629,19.904
pinn,te_ext_02,extreme,0.0,0.0,0,0.0,0,0.0,0,0.0,22.629,19.904
pinn,te_long_01,standard_long,0.0,0.0,0,0.0,0,0.0,0,0.0,22.629,19.904
pinn,te_long_02,winter_long,0.0,0.0,0,0.0,0,0.0,0,0.0,22.629,19.904
pinn,te_long_03,winter_long,0.0,0.0,0,0.0,0,0.0,0,0.0,22.629,19.904
pinn,te_std_01,standard,0.0,0.0,0,0.0,0,0.0,0,0.0,22.801,20.152
pinn,te_std_02,standard,0.0,0.0,0,0.0,0,0.0,0,0.0,22.518,19.011
pinn,te_win_01,winter,0.0,0.0,0,0.0,0,0.0,0,0.0,22.629,19.904
pinn,te_win_02,winter,0.0,0.0,0,0.0,0,0.0,0,0.0,22.244,19.005
rc,te_ext_01,extreme,0.0,10.5682,164,10.5682,150,9.91,0,0.0,24.687,19.904
rc,te_ext_02,extreme,0.0,10.5682,164,10.5682,150,9.91,0,0.0,24.687,19.904
rc,te_long_01,standard_long,0.0,59.4343,1071,59.4343,780,44.3722,0,0.0,24.687,19.904
rc,te_long_02,winter_long,0.0,59.4343,1071,59.4343,780,44.3722,0,0.0,24.687,19.904
rc,te_long_03,winter_long,0.0,59.4343,1071,59.4343,780,44.3722,0,0.0,24.687,19.904
rc,te_std_01,standard,0.0,0.0,0,0.0,0,0.0,0,0.0,23.709,20.152
rc,te_std_02,standard,0.0,8.6751,122,8.6751,122,8.6751,0,0.0,24.943,19.011
rc,te_win_01,winter,0.0,10.5682,164,10.5682,150,9.91,0,0.0,24.687,19.904
rc,te_win_02,winter,0.0,7.6857,127,7.6857,127,7.6857,0,0.0,24.72,19.005
